beam_width,min_covered_examples,max_rule_length,auc,accuracy,precision,recall,f1_score
5,40,3,[0.55538281],0.4334850784016186,0.3860211286003014,0.4334850784016186,0.3465297033618876
5,40,6,[0.53889447],0.4365199797673242,0.40293359341216367,0.4365199797673242,0.38862833771352207
5,40,10,[0.53149759],0.4142640364188164,0.3736774162352379,0.4142640364188164,0.3677330562551064
5,80,3,[0.55538281],0.4334850784016186,0.3860211286003014,0.4334850784016186,0.3465297033618876
5,80,6,[0.53889447],0.4365199797673242,0.40293359341216367,0.4365199797673242,0.38862833771352207
5,80,10,[0.53149759],0.4142640364188164,0.3736774162352379,0.4142640364188164,0.3677330562551064
5,120,3,[0.55538281],0.4334850784016186,0.3860211286003014,0.4334850784016186,0.3465297033618876
5,120,6,[0.53889447],0.4365199797673242,0.40293359341216367,0.4365199797673242,0.38862833771352207
5,120,10,[0.53149759],0.4142640364188164,0.3736774162352379,0.4142640364188164,0.3677330562551064
10,40,3,[0.55126928],0.4324734446130501,0.37722011314449894,0.4324734446130501,0.3632796273790694
10,40,6,[0.53499366],0.4208396560445119,0.3840440205566847,0.4208396560445119,0.38292700318371153
10,40,10,[0.53577867],0.4137582195245321,0.3734354793337998,0.4137582195245321,0.3707450631220239
10,80,3,[0.55126928],0.4324734446130501,0.37722011314449894,0.4324734446130501,0.3632796273790694
10,80,6,[0.53499366],0.4208396560445119,0.3840440205566847,0.4208396560445119,0.38292700318371153
10,80,10,[0.53577867],0.4137582195245321,0.3734354793337998,0.4137582195245321,0.3707450631220239
10,120,3,[0.55126928],0.4324734446130501,0.37722011314449894,0.4324734446130501,0.3632796273790694
10,120,6,[0.53499366],0.4208396560445119,0.3840440205566847,0.4208396560445119,0.38292700318371153
10,120,10,[0.53577867],0.4137582195245321,0.3734354793337998,0.4137582195245321,0.3707450631220239
15,40,3,[0.55592625],0.4532119372787051,0.4105289090156593,0.4532119372787051,0.35200015218212505
15,40,6,[0.53649564],0.41831057157309054,0.3938243002772364,0.41831057157309054,0.3887099261851745
15,40,10,[0.5409184],0.430450177035913,0.39948811870911394,0.430450177035913,0.39079236015633495
15,80,3,[0.55592625],0.4532119372787051,0.4105289090156593,0.4532119372787051,0.35200015218212505
15,80,6,[0.53649564],0.41831057157309054,0.3938243002772364,0.41831057157309054,0.3887099261851745
15,80,10,[0.5409184],0.430450177035913,0.39948811870911394,0.430450177035913,0.39079236015633495
15,120,3,[0.55592625],0.4532119372787051,0.4105289090156593,0.4532119372787051,0.35200015218212505
15,120,6,[0.53649564],0.41831057157309054,0.3938243002772364,0.41831057157309054,0.3887099261851745
15,120,10,[0.5409184],0.430450177035913,0.39948811870911394,0.430450177035913,0.39079236015633495
